LOGON    U001  0
END      U001  50047450
END      U005  77711870
LOGON    U002  0
LOGON    U003  1000
END      U002  104892240
END      U001  114127120
END      U001  127495420
END      U004  160817500
END      U001  605515660
LOGON    U004  0
END      U003  290812385
END      U005  300802500
END      U001  320881060
END      U005  322253550
END      U002  340779885
END      U003  477585070
END      U004  565799885
END      U003  575009975
END      U001  612307310
END      U003  695047475
END      U004  719811340
LOGON    U005  500
END      U003  855082475
